8/R6p/8/8/4b1nk/8/3B2P1/6K1 b - - 4 54,3.61
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,0.25
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,0.14
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,0.23
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,0.27
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,0.12
rnbqk2r/ppp2ppp/3bpn2/3pN3/3P1B2/4P3/PPP2PPP/RN1QKB1R b KQkq - 2 5,0.16
rnbq1rk1/ppp2ppp/3bpn2/3pN3/3P1B2/4P3/PPP2PPP/RN1QKB1R w KQ - 3 6,0.16
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,0.08
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,0.14
rnbq1rk1/ppp2ppp/3bpn2/3pN3/3P1B2/4P3/PPPN1PPP/R2QKB1R b KQ - 4 6,0.1
r1bq1rk1/pp3ppp/2nbpn2/3pN3/2pP1B1P/2P1P3/PP1N1PP1/R2QKB1R w KQ - 1 9,0.16
rnbq1rk1/pp3ppp/3bpn2/3pN3/2pP1B2/2P1P3/PP1N1PPP/R2QKB1R w KQ - 0 8,0.21
rnbq1rk1/pp3ppp/3bpn2/2ppN3/3P1B2/4P3/PPPN1PPP/R2QKB1R w KQ - 0 7,0.16
r1b2rk1/ppq2ppp/2nbpn2/3pN2P/2pP1B2/2P1P3/PP1N1PP1/R2QKB1R w KQ - 1 10,0.37
rnbq1rk1/pp3ppp/3bpn2/2ppN3/3P1B2/2P1P3/PP1N1PPP/R2QKB1R b KQ - 0 7,0.08
rnbq1rk1/pp3ppp/3bpn2/3pN3/2pP1B1P/2P1P3/PP1N1PP1/R2QKB1R b KQ - 0 8,0.17
r1b2rk1/ppq2ppp/2nbpn1P/3pN3/2pP1B2/2P1P3/PP1N1PP1/R2QKB1R b KQ - 0 10,0.3
r1bq1rk1/pp3ppp/2nbpn2/3pN2P/2pP1B2/2P1P3/PP1N1PP1/R2QKB1R b KQ - 0 9,0.25
r1b2rk1/ppq2p1p/2nbp1pP/3p4/2pP1Bn1/2P1P3/PP1N1PP1/R2QKB1R w KQ - 0 12,0.37
r1b2rk1/pp3p1p/2nqp1pP/3p4/2pP2n1/2P1P3/PP1N1PP1/R2QKB1R w KQ - 0 13,0.31
r1b2rk1/ppq2p1p/2nbpnpP/3pN3/2pP1B2/2P1P3/PP1N1PP1/R2QKB1R w KQ - 0 11,0.28
r1b2rk1/ppq2p1p/2nBp1pP/3p4/2pP2n1/2P1P3/PP1N1PP1/R2QKB1R b KQ - 0 12,0.29
r1b2rk1/ppq2p1p/2nbpnpP/3p4/2pP1BN1/2P1P3/PP1N1PP1/R2QKB1R b KQ - 1 11,0.43
r1b2rk1/p4p1p/2nqp1pP/1p1p4/2pP2Q1/2P1P3/PP1N1PP1/R3KB1R w KQ - 0 14,0.32
r1b2rk1/pp3p1p/2nq2pP/3pp3/2pP4/2P1P1Q1/PP1N1PP1/R3KB1R b KQ - 1 14,0.37
r1br2k1/pp3p1p/2nq2pP/3pp3/2pP4/2P1P1Q1/PP1N1PP1/R3KB1R w KQ - 2 15,0.35
r1br2k1/pp3p1p/2nq2pP/3pp3/2pP4/2P1P1Q1/PP1NBPP1/R3K2R b KQ - 3 15,0.23
r1b2rk1/pp3p1p/2nq2pP/3pp3/2pP2Q1/2P1P3/PP1N1PP1/R3KB1R w KQ - 0 14,0.4
r1b2rk1/p4p1p/2nqp1pP/1p1p4/2pP2Q1/P1P1P3/1P1N1PP1/R3KB1R b KQ - 0 14,0.25
r1b2rk1/pp3p1p/2nqp1pP/3p4/2pP2Q1/2P1P3/PP1N1PP1/R3KB1R b KQ - 0 13,0.41
r4rk1/3bnp1p/3qp1pP/pp1p4/2pP2Q1/P1P1P3/1P1NBPP1/R4RK1 w - - 2 17,0.58
r4rk1/3b1p1p/2nqp1pP/pp1p4/2pP2Q1/P1P1P3/1P1NBPP1/R3K2R w KQ - 0 16,0.26
r4rk1/4np1p/2bqp1pP/pp1p4/2pP2Q1/P1P1P3/1P1NBPP1/R3R1K1 w - - 4 18,0.59
r4rk1/p2b1p1p/2nqp1pP/1p1p4/2pP2Q1/P1P1P3/1P1N1PP1/R3KB1R w KQ - 1 15,0.23
r4rk1/3bnp1p/3qp1pP/pp1p4/2pP2Q1/P1P1P3/1P1NBPP1/R3R1K1 b - - 3 17,0.47
r4rk1/p2b1p1p/2nqp1pP/1p1p4/2pP2Q1/P1P1P3/1P1NBPP1/R3K2R b KQ - 2 15,0.22
r4rk1/3b1p1p/2nqp1pP/pp1p4/2pP2Q1/P1P1P3/1P1NBPP1/R4RK1 b - - 1 16,0.29
4rrk1/4np1p/2bqp1pP/pp6/2pPp1Q1/P1P2B2/1P1N1PP1/R3R1K1 w - - 0 20,0.25
4rrk1/4np1p/2bqp1pP/pp6/2pPN1Q1/P1P2B2/1P3PP1/R3R1K1 b - - 0 20,0.29
4rrk1/4np1p/2bqp1pP/pp1p4/2pP2Q1/P1P1PB2/1P1N1PP1/R3R1K1 w - - 6 19,0.65
4rrk1/4np1p/2bqp1pP/pp1p4/2pPP1Q1/P1P2B2/1P1N1PP1/R3R1K1 b - - 0 19,0.29
4rrk1/5p1p/2Qqp1pP/pp3n2/2pP4/P1P2B2/1P3PP1/R3R1K1 b - - 2 22,0.21
4rrk1/4np1p/3qp1pP/pp6/2pPb1Q1/P1P2B2/1P3PP1/R3R1K1 w - - 0 21,0.32
r4rk1/4np1p/2bqp1pP/pp1p4/2pP2Q1/P1P1PB2/1P1N1PP1/R3R1K1 b - - 5 18,0.43
4rrk1/4np1p/3qp1pP/pp6/2pPQ3/P1P2B2/1P3PP1/R3R1K1 b - - 0 21,0.13
4rrk1/5p1p/3qp1pP/pp3n2/2pPQ3/P1P2B2/1P3PP1/R3R1K1 w - - 1 22,0.3
4rrk1/4np1p/2bqp1pP/pp1p4/2pP2Q1/PPP1PB2/3N1PP1/R3R1K1 b - - 0 19,0.39
4rrk1/5p1p/2bqp1pP/pp1p1n2/3P4/PNP1PB1Q/5PP1/R3R1K1 b - - 0 21,0.41
4rrk1/5p1p/2bqp1pP/pp1p1n2/2pP4/PPP1PB1Q/3N1PP1/R3R1K1 b - - 2 20,0.37
3qrrk1/5p1p/2b1p1pP/pp1p1n2/3P4/PNP1PB1Q/5PP1/R3R1K1 w - - 1 22,0.42
4rrk1/5p1p/2bqp1pP/pp1p1n2/2pP2Q1/PPP1PB2/3N1PP1/R3R1K1 w - - 1 20,0.42
4rrk1/5p1p/2bqp1pP/pp1p1n2/3P4/PpP1PB1Q/3N1PP1/R3R1K1 w - - 0 21,0.41
3qrrk1/5p1p/2b1p1pP/pp1p1n2/3P4/PNP1P2Q/4BPP1/R3R1K1 b - - 2 22,0.36
4rrk1/4qp1p/2bnp1pP/ppNp4/3P4/P1P1P3/4BPPQ/R3R1K1 b - - 6 24,0.27
4rrk1/4q2p/2bnpppP/ppNp4/3P2B1/P1P1P3/5PPQ/R3R1K1 b - - 1 25,0.32
3qrrk1/5p1p/2bnp1pP/ppNp4/3P4/P1P1P2Q/4BPP1/R3R1K1 b - - 4 23,0.34
4rrk1/4q2p/2bnpppP/ppNp4/3P4/P1P1P3/4BPPQ/R3R1K1 w - - 0 25,0.72
